Marca de Tiempo, Uso de Memoria (%)
10:19:16, 54.3
10:19:17, 54.3
10:19:18, 54.3
10:19:19, 54.3
10:19:20, 54.3
10:19:21, 54.3
10:19:22, 55.1
10:19:23, 55.2
10:19:24, 55.1
10:19:25, 55.1
10:19:26, 55.2
10:19:27, 55.1
10:19:28, 54.9
10:19:29, 54.8
10:19:30, 54.8
10:19:31, 54.8
10:19:32, 54.8
10:19:33, 54.8
10:19:34, 54.8
10:19:35, 54.8
10:19:36, 54.8
10:19:37, 54.9
10:19:38, 55.1
10:19:39, 55.1
10:19:40, 55.0
10:19:41, 55.0
10:19:42, 55.0
10:19:43, 55.0
10:19:44, 55.0
10:19:45, 55.8
10:19:46, 55.9
10:19:47, 56.1
10:19:48, 56.5
10:19:49, 56.6
10:19:50, 56.6
10:19:51, 56.6
10:19:52, 56.6
10:19:53, 56.5
10:19:54, 56.5
10:19:55, 56.4
10:19:56, 56.0
10:19:57, 55.9
10:19:58, 55.7
10:19:59, 55.7
10:20:00, 55.6
10:20:01, 55.6
10:20:02, 55.5
10:20:03, 55.5
10:20:04, 55.5
10:20:05, 55.5
10:20:06, 55.5
10:20:07, 55.5
10:20:08, 55.5
10:20:09, 55.5
10:20:10, 55.5
10:20:11, 55.5
10:20:12, 55.5
10:20:13, 55.5
10:20:14, 55.5
10:20:15, 55.5
10:20:16, 55.5
10:20:17, 55.3
10:20:18, 55.3
10:20:19, 55.3
10:20:20, 55.3
10:20:21, 55.3
10:20:22, 55.3
10:20:23, 55.3
10:20:24, 55.3
10:20:25, 55.3
10:20:26, 55.3
10:20:27, 55.3
10:20:28, 55.3
10:20:29, 55.3
10:20:30, 55.3
10:20:31, 55.3
10:20:32, 55.3
10:20:33, 55.3
10:20:34, 55.4
10:20:35, 55.3
10:20:36, 55.3
10:20:37, 55.4
10:20:38, 55.4
10:20:39, 55.4
10:20:40, 55.3
10:20:41, 55.4
10:20:42, 55.4
10:20:43, 55.4
10:20:44, 55.5
10:20:45, 55.5
10:20:46, 55.5
10:20:47, 55.4
10:20:48, 55.4
10:20:49, 55.4
10:20:50, 55.4
10:20:51, 55.4
10:20:52, 55.4
10:20:53, 55.1
10:20:54, 55.5
10:20:55, 55.6
10:20:56, 55.6
10:20:57, 55.6
10:20:58, 55.6
10:20:59, 55.6
10:21:00, 55.5
10:21:01, 55.6
10:21:02, 55.5
10:21:03, 55.5
10:21:04, 55.5
10:21:05, 55.4
10:21:06, 55.4
10:21:07, 55.3
10:21:08, 55.4
10:21:09, 55.2
10:21:10, 55.9
10:21:11, 56.1
10:21:12, 56.1
10:21:13, 56.0
10:21:14, 56.3
10:21:15, 56.4
10:21:16, 56.7
10:21:17, 57.7
10:21:18, 59.1
10:21:19, 59.1
10:21:20, 60.4
10:21:21, 60.4
10:21:22, 60.5
10:21:23, 60.3
10:21:24, 60.3
10:21:25, 60.2
10:21:26, 60.2
10:21:27, 60.1
10:21:28, 59.9
10:21:29, 59.9
10:21:30, 59.7
10:21:31, 59.7
10:21:32, 59.7
10:21:33, 59.3
10:21:34, 59.2
10:21:35, 59.1
10:21:36, 59.1
10:21:37, 59.1
10:21:38, 59.1
10:21:39, 59.1
10:21:40, 59.0
10:21:41, 58.7
10:21:42, 58.7
10:21:43, 58.7
10:21:44, 58.4
10:21:45, 58.4
10:21:46, 57.8
10:21:47, 57.8
10:21:48, 58.3
10:21:49, 58.3
10:21:50, 58.3
10:21:51, 58.3
10:21:52, 58.6
10:21:53, 58.6
10:21:54, 58.6
10:21:55, 58.8
10:21:56, 59.2
10:21:57, 59.2
10:21:58, 59.2
10:21:59, 59.3
10:22:00, 59.3
10:22:01, 59.3
10:22:02, 59.3
10:22:03, 59.3
10:22:04, 59.3
10:22:05, 59.3
10:22:06, 59.2
10:22:07, 58.8
10:22:08, 59.2
10:22:09, 59.2
10:22:10, 59.4
10:22:11, 59.3
10:22:12, 59.3
10:22:13, 59.5
10:22:14, 59.5
10:22:15, 59.5
10:22:16, 58.9
10:22:17, 58.8
10:22:18, 58.6
10:22:19, 58.6
10:22:20, 59.2
10:22:21, 59.2
10:22:22, 59.1
10:22:23, 59.1
10:22:24, 59.1
10:22:25, 59.0
10:22:26, 58.9
10:22:27, 58.9
10:22:28, 58.9
10:22:29, 59.0
10:22:30, 58.2
10:22:31, 58.1
10:22:32, 58.1
10:22:33, 58.1
10:22:34, 58.1
10:22:35, 58.0
10:22:36, 57.9
10:22:37, 57.5
10:22:38, 57.5
10:22:39, 57.5
10:22:40, 57.4
10:22:41, 56.8
10:22:42, 55.9
10:22:43, 55.8
10:22:44, 55.8
10:22:45, 57.9
10:22:46, 58.0
10:22:47, 58.0
10:22:48, 58.0
10:22:49, 58.0
10:22:50, 57.8
10:22:51, 57.8
10:22:52, 57.7
10:22:53, 57.7
10:22:54, 57.8
10:22:55, 57.7
10:22:56, 57.7
10:22:57, 57.8
10:22:58, 57.8
10:22:59, 57.8
10:23:00, 57.8
10:23:01, 57.7
10:23:02, 57.7
10:23:03, 57.7
10:23:04, 57.7
10:23:05, 57.7
10:23:06, 57.8
10:23:07, 57.8
10:23:08, 57.5
10:23:09, 57.5
10:23:10, 57.4
10:23:11, 58.0
10:23:12, 58.0
10:23:13, 57.9
10:23:14, 57.9
10:23:15, 57.9
10:23:16, 57.9
10:23:17, 57.7
10:23:18, 57.7
10:23:19, 57.6
10:23:20, 57.5
10:23:21, 57.5
10:23:22, 56.8
10:23:23, 56.6
10:23:24, 56.5
10:23:25, 56.3
10:23:26, 56.3
10:23:27, 56.3
10:23:28, 56.1
10:23:29, 55.5
10:23:30, 54.6
10:23:31, 53.6
10:23:32, 52.8
10:23:33, 52.6
10:23:34, 52.6
10:23:35, 52.6
10:23:36, 52.6
10:23:37, 52.6
10:23:38, 52.6
10:23:39, 52.6
10:23:40, 52.6
10:23:41, 52.6
10:23:42, 52.6
10:23:43, 52.7
10:23:44, 52.7
10:23:45, 52.7
10:23:46, 52.7
10:23:47, 52.7
10:23:48, 52.6
10:23:49, 52.6
10:23:50, 52.6
10:23:51, 52.6
10:23:52, 52.6
10:23:53, 52.6
10:23:54, 52.6
10:23:55, 52.6
10:23:56, 52.5
10:23:57, 52.5
10:23:58, 52.5
10:23:59, 52.5
10:24:00, 52.5
10:24:01, 52.4
10:24:02, 52.4
10:24:03, 52.4
10:24:04, 52.4
10:24:05, 52.4
10:24:06, 52.4
10:24:07, 52.6
10:24:08, 52.6
10:24:09, 52.6
10:24:10, 52.8
10:24:11, 52.8
10:24:12, 52.8
10:24:13, 52.8
10:24:14, 52.8
10:24:15, 53.0
